Definizione concreto_generico_building; Definizione concreto_specifico_molecule; Definizione astratto_generico_freedom; Definizione astratto_specifico_compassion
concrete structure typically made with cement ;A chemistry term that describes the smallest part of an obj;unconditional choice;comprehension
structure that hasa walls  and roof;group of atoms;without constrains;be sensitive and understandable towards a person
Human artifact dedicated to various purposes, including sheltering people from the outside world.;Chemical component formed by combinations of atoms;The lack of physical or mental constraints.;The ability to experience other people's negative emotions.
a construction where you can live inside;set of atoms, that is components of which everything is made;live without constrains, a state of mind;sympathetic attitude
structure where people can stay;invisible thing , everything is made of it;conceptual idea where no one can limitate other people expression;undterstand the suffering and feel sad for it
A construction made for living or decorative purposes;a specific element that composes things;possibility to make decisions;sad feeling towards someone
Architectural structure with one or more levels (floors) used to host people and/or objects. It can be made of various materials and have underground sections.;"One of the smallest sub-structures of matter; it consists of atoms";"The ability of one to make free choices and act by following his;";The ability of one to make free choices and act by following his/her own will and thoughts without external inhibitions.
object built with material;invisible particle;autonomy to do something;understanding a bad situation
An architectural structure;Amount of substance;a state of autonomy;Understand the mood of others
a structure consisting of walls and foundations, used for various purposes;the smallest amount of matter;possibility to move, think independently;understand a bad situation and take action to improve it
a structure with walls and a roof;neutral group of two atoms;The ability of make independent choices;When you feel sad for someone of you forgive him for something.
Architectural structure;chemical entity;right to think and act independently without repercussions;emphatic feeling, understand other people's emotion
structure, made of strong materials, with a roof, with (usually) multiple floors;small part of matter;possibility to do anything;feeling and understanding someone else's emotions
structure that can be used in many different ways;small chemical component;possibility to express ideas;understand people's feeling
A structure of walls, made by bricks;A chemical component;possibility to choose and do whatever you want to do;Fell sick for other person
Palace;atom;autonomy;Undestanding a difficult affaires
architectural structure made by human;basic chemical component of an element;life condition in which there are no constraints of choice;"
understanding a person's mood"
Structure enclosed by walls, it typically has doors and windows;Unit of chemical substances;Absence of limitations or constraints;Feeling empathy or pity towards someone's poor condition
Physical structure with walls aimed to contains people;A small unit in an atom;Condition in which there aren’t some type of restrictions;Feels bad for other people that are suffering
